feature,importance
fill_slippage_pct,0.07733093
risk_reward_ratio,0.0547135
fill_price_per_share,0.03732086
ob_bid_volume,0.032154836
btc_high,0.028816927
poly_book_up_bids,0.026933558
round_number_distance,0.026714837
btc_position_in_range,0.026293317
ob_imbalance,0.026041334
is_us_market_hours,0.02560691
btc_entry_price,0.024916045
btc_open_price,0.024708452
candle_position_dollars,0.023407878
poly_book_up_asks,0.023171822
btc_volatility,0.02316458
momentum_120s,0.023034127
poly_book_bias,0.022815475
edge_up_bps,0.022162648
order_book_ratio,0.022161998
cvd,0.021278849
hour_of_day,0.021045765
chainlink_spot_divergence,0.020830771
cvd_sell_volume,0.02073796
cvd_ratio,0.020432532
edge_chosen,0.0196883
up_odds,0.019662678
fair_up,0.01963581
btc_range,0.019154035
ob_ask_volume,0.019036831
btc_low,0.019014113
entry_odds,0.01834687
edge_down_bps,0.018244334
cvd_buy_volume,0.017734699
poly_book_down_asks,0.017100325
seconds_before_close,0.01606841
poly_book_down_bids,0.015813913
streak_length,0.01494722
momentum_60s,0.014744518
is_asian_hours,0.014172403
poly_spread,0.01356578
momentum_acceleration,0.013155317
day_of_week,0.011422013
side_num,0.009031221
down_odds,0.008840695
cvd_imbalance,0.004824613
odds_spread,0.0
is_weekend,0.0
cvd_trade_count,0.0
liquidation_signal,0.0
liq_long_usd,0.0
liq_short_usd,0.0
liq_imbalance,0.0
liq_ratio,0.0
poly_book_imbalance,0.0
fair_down,0.0
fair_z_score,0.0
momentum_vote_num,0.0
reversion_vote_num,0.0
structure_vote_num,0.0
confidence_num,0.0
streak_is_up,0.0
prev_candle_up,0.0
has_cvd,0.0
has_orderbook,0.0
has_liquidations,0.0
has_poly_book,0.0
has_fair_value,0.0
