feature,importance
btc_volatility,0.09736014
day_of_week,0.06916959
fair_down,0.038232572
reversion_vote_num,0.036674116
edge_chosen,0.032207243
streak_is_up,0.029599888
btc_position_in_range,0.029213166
fair_up,0.027213091
btc_open_price,0.026539056
btc_low,0.026306765
ob_bid_volume,0.024198238
cvd_buy_volume,0.02406692
ob_ask_volume,0.023204912
candle_position_dollars,0.022381954
cvd,0.02195371
momentum_vote_num,0.021597669
prev_candle_up,0.021144358
ob_imbalance,0.020861255
round_number_distance,0.020549938
poly_book_bias,0.019226208
momentum_120s,0.018958243
poly_book_up_bids,0.018822696
cvd_sell_volume,0.018579483
entry_odds,0.017934998
btc_entry_price,0.017930113
cvd_ratio,0.017595723
order_book_ratio,0.017453898
seconds_before_close,0.016906258
poly_book_up_asks,0.01641051
momentum_60s,0.016197361
cvd_imbalance,0.016137917
chainlink_spot_divergence,0.015616943
up_odds,0.015588098
poly_book_down_bids,0.01552051
poly_book_down_asks,0.015138018
side_num,0.014357451
btc_high,0.013703866
is_asian_hours,0.012772209
momentum_acceleration,0.01276613
streak_length,0.011669713
down_odds,0.009896468
edge_up_bps,0.009147363
btc_range,0.008932363
has_cvd,0.008574035
hour_of_day,0.007349519
is_us_market_hours,0.004339252
odds_spread,0.0
is_weekend,0.0
cvd_trade_count,0.0
liquidation_signal,0.0
liq_long_usd,0.0
liq_short_usd,0.0
liq_imbalance,0.0
liq_ratio,0.0
poly_book_imbalance,0.0
poly_spread,0.0
fair_z_score,0.0
edge_down_bps,0.0
structure_vote_num,0.0
confidence_num,0.0
has_orderbook,0.0
has_liquidations,0.0
has_poly_book,0.0
has_fair_value,0.0
